category,name,sku,price,unit,url,image
Lumber,3/4x3-1/2x8' Poplar Sanded Four Sides Moulding,148PP,32.99,/each,https://downtownlumber.com/p/34x3-12x8-poplar-sanded-four-sides-moulding/148PP,https://ik.imagekit.io/toolbx/p_1657814473693_39bf0516-4be2-449a-bdaa-96a21910bc8f.jpg
Lumber,"Hanger for LVL 1-3/4x9-1/2"" HUS18110 Single Face Mount",HUS18110,9.99,/each,https://downtownlumber.com/p/hanger-for-lvl-1-34x9-12-hus18110-single-face-mount/HUS18110,https://ik.imagekit.io/toolbx/p_1657819286463_71da5fea-edc4-46b2-aede-6699a83d63f2.jpg
Lumber,"Brown Deck Screws #8x2-1/2""- 100 pc",2183340,14.99,/each,https://downtownlumber.com/p/brown-deck-screws-8x2-12-100-pc/2183340,https://ik.imagekit.io/toolbx/p_1681618209346_81469522-0ccc-4d74-99e2-47c7a2ff1229_2183340.jpg
Lumber,2x10x20' Premium SPF,21020,54.99,/each,https://downtownlumber.com/p/2x10x20-premium-spf/21020,https://ik.imagekit.io/toolbx/p_1657818792872_6d742dfc-468a-4720-b19a-c4e791229f71.jpg
Lumber,"1x12"" Poplar Lumber (sold by LF)",112PP,9.49,/foot,https://downtownlumber.com/p/1x12-poplar-lumber-sold-by-lf/112PP,https://ik.imagekit.io/toolbx/p_1657819380230_cd7ecdaf-9ce3-44ab-a493-01e604fd4654.jpg
Lumber,1x4x8' Sienna Pressure Treated Lumber,148PT,5.29,/each,https://downtownlumber.com/p/1x4x8-sienna-pressure-treated-lumber/148PT,https://ik.imagekit.io/toolbx/p_1657819316699_fcf16940-aa36-44d1-841b-69a6b12983b6.jpg
Lumber,"Spiral Ardox Galvanized Nails 8"" -50lbs",2130928,184.99,/each,https://downtownlumber.com/p/spiral-ardox-galvanized-nails-8-50lbs/2130928,https://ik.imagekit.io/toolbx/p_1657819053366_fdcad98b-7c49-4a0e-ba4b-e6cf5d6e76e3.jpg
Lumber,"Joist Hanger Single 2x10"" 18 Gauge G185",210JH,3.19,/each,https://downtownlumber.com/p/joist-hanger-single-2x10-18-gauge-g185/210JH,https://ik.imagekit.io/toolbx/p_1657819048226_82e83f3c-6a4c-438b-881b-3ae5bf79e031.jpg
Lumber,"Tapcon 1/4x1-1/4"" Blue Flat Head Concrete Screws - 25 pc",2188017,12.99,/each,https://downtownlumber.com/p/tapcon-14x1-14-blue-flat-head-concrete-screws-25-pc/2188017,https://ik.imagekit.io/toolbx/p_1657819358908_0ced9fe0-4c55-4c32-b1cc-541fe4c02852.jpg
Lumber,2x2x12' Select SPF,2212,5.99,/each,https://downtownlumber.com/p/2x2x12-select-spf/2212,https://toolbx-product-catalog.s3.us-east-1.amazonaws.com/ecommerce/CatalogOPSProject/TLBX/TLBX-01-109-0202.png
Lumber,"2x8"" Pine #1 (sold by LF)",28P,4.19,/each,https://downtownlumber.com/p/2x8-pine-1-sold-by-lf/28P,https://ik.imagekit.io/toolbx/p_1657819333867_6be0bf94-9397-4770-a345-abd678414145.jpg
Lumber,2x6x20' Premium SPF,2620,29.98,/each,https://downtownlumber.com/p/2x6x20-premium-spf/2620,https://ik.imagekit.io/toolbx/p_1657819320028_780b9a90-48f8-43a7-9c33-5ae5c06d5d38.jpg
Lumber,"Yellow Zinc Plated All Purpose Screws #8x2""- 100 pc",2182436,11.99,/each,https://downtownlumber.com/p/yellow-zinc-plated-all-purpose-screws-8x2-100-pc/2182436,https://ik.imagekit.io/toolbx/ecommerce/DTL/16.9.22/YZPAPS.png
Lumber,"1x2"" Pine #1 (sold by LF)",12P,0.69,/foot,https://downtownlumber.com/p/1x2-pine-1-sold-by-lf/12P,https://ik.imagekit.io/toolbx/p_1657820090483_432dbd50-50ea-424b-b7b1-31c128af5e99.jpg
Lumber,2x12x18' Premium SPF,21218,76.97,/each,https://downtownlumber.com/p/2x12x18-premium-spf/21218,https://ik.imagekit.io/toolbx/p_1657819393304_1b31a116-84b6-42c5-b755-29df69430ed2.jpg
Lumber,"Brown Deck Screws #10x3-1/2"" 50pk",2183355,12.99,/each,https://downtownlumber.com/p/brown-deck-screws-10x3-12-50pk/2183355,https://ik.imagekit.io/toolbx/src-img/105494611343
