vendor,category,name,sku,price,unit,url,image,scrape_date
Clarington Home Hardware,Lumber,Spruce 2x10x14,2832483,$30.98,/each,https://claringtonhomehardware.com/p/spruce-2x10x14/2832483,https://ik.imagekit.io/toolbx/p_1693541501447_6b1c0a06-d266-42f0-a30f-52f0b8438fee_2832483.jpg,2026-01-07 10:32:07.355258
Clarington Home Hardware,Lumber,Pine 1x12x12,2826932,$29.99,/each,https://claringtonhomehardware.com/p/pine-1x12x12/2826932,https://ik.imagekit.io/toolbx/p_1693540906861_b6d3e498-8bcc-4f73-ad9a-a5d443d78b8b_2826932.jpg,2026-01-07 10:32:07.410842
Clarington Home Hardware,Lumber,Spruce 2x10x8,2832477,$17.70,/each,https://claringtonhomehardware.com/p/spruce-2x10x8/2832477,https://ik.imagekit.io/toolbx/p_1693541524199_91943c17-49c2-4cb8-a453-abb2e32c415d_2832477.jpg,2026-01-07 10:32:07.468201
Clarington Home Hardware,Lumber,Pine 1x12x16,2826934,$21.99,/each,https://claringtonhomehardware.com/p/pine-1x12x16/2826934,https://ik.imagekit.io/toolbx/p_1693540907652_624ba820-85c0-4a75-913f-fd0b777e2289_2826934.jpg,2026-01-07 10:32:07.523605
Clarington Home Hardware,Lumber,PT 2x8x10,2835974,$23.63,/each,https://claringtonhomehardware.com/p/pt-2x8x10/2835974,https://ik.imagekit.io/toolbx/p_1693541146858_e58738e6-884d-4ac6-ae8c-fffed87e4399_2835974.jpg,2026-01-07 10:32:07.580852
Clarington Home Hardware,Lumber,Spruce 2x3x8,2833511,$3.49,/each,https://claringtonhomehardware.com/p/spruce-2x3x8/2833511,https://ik.imagekit.io/toolbx/p_1693541581397_ec31cdd6-b344-466e-beab-f329c77ca063_2833511.jpg,2026-01-07 10:32:07.640494
Clarington Home Hardware,Lumber,Spruce 2x6x92-5/8,2833539,$7.64,/each,https://claringtonhomehardware.com/p/spruce-2x6x92-58/2833539,https://ik.imagekit.io/toolbx/p_1693541659405_12437591-b4c7-4aa2-b4bc-0f064ea2bcb3_2833539.jpg,2026-01-07 10:32:07.695735
Clarington Home Hardware,Lumber,PT 2x8x20,2820PTB,$105.33,/each,https://claringtonhomehardware.com/p/pt-2x8x20/2820PTB,https://ik.imagekit.io/toolbx/p_1693541137418_ba0fa0d4-236b-4e2b-83f0-442067f92e97_2820PTB.jpg,2026-01-07 10:32:07.753586
Clarington Home Hardware,Lumber,Cedar 4x4x8,2805565,$47.99,/each,https://claringtonhomehardware.com/p/cedar-4x4x8/2805565,https://ik.imagekit.io/toolbx/p_1693541166664_d4f646ff-8348-414a-a477-a539c885bda1_2805565.jpg,2026-01-07 10:32:07.809803
Clarington Home Hardware,Lumber,Rimboard 11-7/8x12',1178RB12,$56.31,/each,https://claringtonhomehardware.com/p/rimboard-11-78x12/1178RB12,https://ik.imagekit.io/toolbx/p_1693541457946_1ff9bcf6-101c-49d2-b6f5-0b408b470de4_1178RB12.jpg,2026-01-07 10:32:07.866666
Clarington Home Hardware,Lumber,Spruce 2x4x92-5/8,2833521,$3.93,/each,https://claringtonhomehardware.com/p/spruce-2x4x92-58/2833521,https://ik.imagekit.io/toolbx/p_1693541616098_c5b4b090-7069-49c4-a690-1410fbd4748b_2833521.jpg,2026-01-07 10:32:07.923107
Clarington Home Hardware,Lumber,Cedar 2x6x10,2805477,$32.49,/each,https://claringtonhomehardware.com/p/cedar-2x6x10/2805477,https://ik.imagekit.io/toolbx/p_1693541099734_d7b27786-7454-47b5-9da7-c75a52f13063_2805477.jpg,2026-01-07 10:32:07.980802
Clarington Home Hardware,Lumber,Spruce 2x6x104-5/8,2833545,$10.99,/each,https://claringtonhomehardware.com/p/spruce-2x6x104-58/2833545,https://ik.imagekit.io/toolbx/p_1693541664112_09c8d078-599c-49f6-9ff8-63763fd17598_2833545.jpg,2026-01-07 10:32:08.038725
Clarington Home Hardware,Lumber,Pine 1x8,2826887,$4.59,/foot,https://claringtonhomehardware.com/p/pine-1x8/2826887,https://ik.imagekit.io/toolbx/p_1693541006132_30fa6539-a9c2-4baf-a3f9-346e26bf7f36_2826887.jpg,2026-01-07 10:32:08.095429
Clarington Home Hardware,Lumber,Spruce 1x2x8,2833319,$2.30,/each,https://claringtonhomehardware.com/p/spruce-1x2x8/2833319,https://ik.imagekit.io/toolbx/p_1693541462711_53164a44-8e29-4dbb-a2b2-e43d8359cc2b_2833319.jpg,2026-01-07 10:32:08.154958
Clarington Home Hardware,Lumber,PT 12x96 Lattice,12152,$11.99,/each,https://claringtonhomehardware.com/p/pt-12x96-lattice/12152,https://ik.imagekit.io/toolbx/p_1693541333186_6e2085cc-8990-4d56-95e1-29d39b98c2c1_12152.jpg,2026-01-07 10:32:08.212491
Clarington Home Hardware,Lumber,PT 2x4x12,2836003,$11.20,/each,https://claringtonhomehardware.com/p/pt-2x4x12/2836003,https://ik.imagekit.io/toolbx/p_1693541085235_6a3d3831-04d8-4911-a2b5-7d8e14eef64e_2836003.jpg,2026-01-07 10:32:08.270086
Clarington Home Hardware,Lumber,Spruce 2x6x24,2832457,$78.62,/each,https://claringtonhomehardware.com/p/spruce-2x6x24/2832457,https://ik.imagekit.io/toolbx/p_1693541654675_b8995576-3c4b-4519-a195-41911102561d_2832457.jpg,2026-01-07 10:32:08.326406
Clarington Home Hardware,Lumber,PT 3-STEP,2837612,$22.67,/each,https://claringtonhomehardware.com/p/pt-3-step/2837612,https://ik.imagekit.io/toolbx/p_1693541697729_90f0f2f4-bcdc-4b6c-8f69-64efb28d3153_2837612.jpg,2026-01-07 10:32:08.382875
