category,name,sku,price,unit,url,image
Simpson Strong Ties,Adjustable 8x8 Post Base w/ Uplift,ABU88Z,130.49,/each,https://slacklumber.ca/p/adjustable-8x8-post-base-w-uplift/ABU88Z,https://ik.imagekit.io/toolbx/1761318557295
Simpson Strong Ties,Rebar Carport Saddle 8x8,RCPS7.5HDG,29.49,/each,https://slacklumber.ca/p/rebar-carport-saddle-8x8/RCPS7.5HDG,https://ik.imagekit.io/toolbx/p_1691212464844_d0d96b13-bbb4-434a-a85f-35a2cd0d4127_RCPS7.5HDG.jpg
Simpson Strong Ties,Retrofit Post Base,RPBZ,7.99,/each,https://slacklumber.ca/p/retrofit-post-base/RPBZ,https://ik.imagekit.io/toolbx/1761320299225
Simpson Strong Ties,4X Post Cap Adjustable LPC4Z,LPC4Z,3.99,/each,https://slacklumber.ca/p/4x-post-cap-adjustable-lpc4z/LPC4Z,https://ik.imagekit.io/toolbx/1761313965237
Simpson Strong Ties,6X Post Cap Adjustable LPC6Z,LPC6Z,6.34,/each,https://slacklumber.ca/p/6x-post-cap-adjustable-lpc6z/LPC6Z,https://ik.imagekit.io/toolbx/1761312142180
Simpson Strong Ties,Fence Bracket 2x4,FB24Z,0.45,/each,https://slacklumber.ca/p/fence-bracket-2x4/FB24Z,https://ik.imagekit.io/toolbx/p_1694145640273_a338d5ee-046f-4ae2-8fb0-77dccfb08a0c_FB24Z.jpg
Simpson Strong Ties,Scissor Truss Connector 2x Truss 2x6 Wall,TC26,10.79,/each,https://slacklumber.ca/p/scissor-truss-connector-2x-truss-2x6-wall/TC26,https://ik.imagekit.io/toolbx/1761320410599
Simpson Strong Ties,Ridge Rafter Connector,RR,2.30,/each,https://slacklumber.ca/p/ridge-rafter-connector/RR,https://ik.imagekit.io/toolbx/1761318657192
Simpson Strong Ties,Post Cap 4x Post Double 2x Beam BCS2-2/4Z,BCS2-2/4Z,9.03,/each,https://slacklumber.ca/p/post-cap-4x-post-double-2x-beam-bcs2-24z/BCS2-2%2F4Z,https://ik.imagekit.io/toolbx/1761315254922
Simpson Strong Ties,Post Cap 6x Post Triple 2x Beam BCS2-3/6Z,BCS2-3/6Z,12.99,/each,https://slacklumber.ca/p/post-cap-6x-post-triple-2x-beam-bcs2-36z/BCS2-3%2F6Z,https://ik.imagekit.io/toolbx/1761315346128
Simpson Strong Ties,Post Cap for End Condition,LCE4Z,9.59,/each,https://slacklumber.ca/p/post-cap-for-end-condition/LCE4Z,https://ik.imagekit.io/toolbx/1761320760636
Simpson Strong Ties,6x End Post Cap,EPC6Z,43.91,/each,https://slacklumber.ca/p/6x-end-post-cap/EPC6Z,https://ik.imagekit.io/toolbx/1761321242979
Simpson Strong Ties,TA Staircase Angle,TA9Z-R,5.99,/each,https://slacklumber.ca/p/ta-staircase-angle/TA9Z-R,https://ik.imagekit.io/toolbx/1761320871624
Simpson Strong Ties,Adjustable Stringer Connector LSCZ,LSCZ,5.99,/each,https://slacklumber.ca/p/adjustable-stringer-connector-lscz/LSCZ,https://ik.imagekit.io/toolbx/1761313759627
Simpson Strong Ties,"Double LVL Hanger 7-1/4""",HGUS48,23.60,/each,https://slacklumber.ca/p/double-lvl-hanger-7-14/HGUS48,https://ik.imagekit.io/toolbx/1761312281044
Simpson Strong Ties,"Triple LVL Hanger 7-1/4""",HGUS5.50/8,77.12,/each,https://slacklumber.ca/p/triple-lvl-hanger-7-14/HGUS5.50%2F8,https://ik.imagekit.io/toolbx/1761312414472
Simpson Strong Ties,"Single LVL Hanger 9-1/2""-16""",HUS1.81/10,9.90,/each,https://slacklumber.ca/p/single-lvl-hanger-9-12-16/HUS1.81%2F10,https://ik.imagekit.io/toolbx/1761312541839
