REPORTER_LAB,PARTNER_LAB,PRODUCT,PRODUCT_LAB,FLOW,FLOW_LAB,PERIOD,PERIOD_LAB,INDICATORS,INDICATORS_LAB,INDICATOR_VALUE
"Türkiye","Extra-euro area",010639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)",1,"IMPORT",202206,"Jun. 2022",QUANTITY_KG,"QUANTITY_KG",63
"Türkiye","Extra-euro area - 20 countries (from 2023)",010639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)",1,"IMPORT",202206,"Jun. 2022",QUANTITY_KG,"QUANTITY_KG",63
"Türkiye","Extra-EU",010639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)",1,"IMPORT",202206,"Jun. 2022",QUANTITY_KG,"QUANTITY_KG",63
"Türkiye","Extra-EU27 (from 2020)",010639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)",1,"IMPORT",202206,"Jun. 2022",QUANTITY_KG,"QUANTITY_KG",63
"Türkiye","Pakistan",010639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)",1,"IMPORT",202206,"Jun. 2022",QUANTITY_KG,"QUANTITY_KG",40
"Türkiye","Uzbekistan",010639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)",1,"IMPORT",202206,"Jun. 2022",QUANTITY_KG,"QUANTITY_KG",23
"Türkiye","All countries of the world",010639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)",1,"IMPORT",202206,"Jun. 2022",QUANTITY_KG,"QUANTITY_KG",63
