category,name,sku,price,unit,url,image
Construction Lumber,"1 3/4"" X 9 1/2"" - 16' LVL BEAM",LLVL91216,131.30,/each,https://peacocklumber.ca/p/1-34-x-9-12-16-lvl-beam/LLVL91216,https://ik.imagekit.io/toolbx/p_1676092185955_0d51dafc-82a8-4464-8c00-d2206f466084_LLVL91216.jpg
Construction Lumber,1x6x5' Pressure Treated,LMP165,3.93,/piece,https://peacocklumber.ca/p/1x6x5-pressure-treated/LMP165,https://ik.imagekit.io/toolbx/ecommerce/Peacock+Lumber/1x6MicroProSienna.png
Construction Lumber,6x6x16' Pressure Treated,LMP6616,89.99,/piece,https://peacocklumber.ca/p/6x6x16-pressure-treated/LMP6616,https://toolbx-product-catalog.s3.us-east-1.amazonaws.com/ecommerce/CatalogOPSProject/TLBX/TLBX-01-104-0606.png
Construction Lumber,"2x2x42"" Baluster Pressure Treated",LMPB42,2.40,/piece,https://peacocklumber.ca/p/2x2x42-baluster-pressure-treated/LMPB42,https://ik.imagekit.io/toolbx/ecommerce/Peacock+Lumber/2x2x42%22.png
Construction Lumber,2x10x14' Spruce D4S (#2 & Better),LSP21014,30.95,/piece,https://peacocklumber.ca/p/2x10x14-spruce-d4s-2-better/LSP21014,https://ik.imagekit.io/toolbx/ecommerce/Peacock+Lumber/LSP21014.png
Construction Lumber,5/4x6x8' Pressure Treated,LMP5468,8.75,/piece,https://peacocklumber.ca/p/54x6x8-pressure-treated/LMP5468,https://ik.imagekit.io/toolbx/ecommerce/Peacock+Lumber/5%3A4x6_MicroProSienna.png
Construction Lumber,2x2x8' Pressure Treated,LMP228,4.90,/each,https://peacocklumber.ca/p/2x2x8-pressure-treated/LMP228,https://ik.imagekit.io/toolbx/ecommerce/Peacock+Lumber/2x2MicroProSienna.png
Construction Lumber,"1 3/4"" X 11 7/8"" - 24' LVL BEAM",LLVL117824,243.60,/each,https://peacocklumber.ca/p/1-34-x-11-78-24-lvl-beam/LLVL117824,https://ik.imagekit.io/toolbx/p_1689912260061_0de34759-aaca-4070-9037-0cb01cdd1bd9_LLVL117824.jpg
Construction Lumber,"1 3/4"" X 7 1/4"" - 16' LVL BEAM",LLVL71416,110.40,/each,https://peacocklumber.ca/p/1-34-x-7-14-16-lvl-beam/LLVL71416,https://ik.imagekit.io/toolbx/p_1676092176892_3d6cb633-43f2-4961-92c9-d295ce5f4bb2_LLVL71416.jpg
Construction Lumber,2x12x16' Pressure Treated,LMP21216,69.90,/each,https://peacocklumber.ca/p/2x12x16-pressure-treated/LMP21216,https://ik.imagekit.io/toolbx/ecommerce/Peacock+Lumber/2x12MicroProSienna.png
Construction Lumber,2x6-8' Pressure Treated,LMP268,12.85,/piece,https://peacocklumber.ca/p/2x6-8-pressure-treated/LMP268,https://ik.imagekit.io/toolbx/p_1681359268027_2b36ac79-1793-486c-87b4-d06aa3401a37_LMP268.jpg
Construction Lumber,2x6x20' Pressure Treated,LMP2620,43.35,/piece,https://peacocklumber.ca/p/2x6x20-pressure-treated/LMP2620,https://ik.imagekit.io/toolbx/ecommerce/Peacock+Lumber/2x6MicroProSienna.png
Construction Lumber,5/4X6X10 PRESSURE TREATED-SECONDS,CULLLMP54610,5.40,/piece,https://peacocklumber.ca/p/54x6x10-pressure-treated-seconds/CULLLMP54610,https://ik.imagekit.io/toolbx/1754678153234
Construction Lumber,2X10X16 PRESSURE TREATED-SECONDS,CULLLMP21016,24.75,/piece,https://peacocklumber.ca/p/2x10x16-pressure-treated-seconds/CULLLMP21016,https://ik.imagekit.io/toolbx/1754669883135
Construction Lumber,2X8-20' PRESSURE TREATED-SECONDS,CULLLMP2820,31.60,/piece,https://peacocklumber.ca/p/2x8-20-pressure-treated-seconds/CULLLMP2820,https://ik.imagekit.io/toolbx/1754678091241
Construction Lumber,2X10X8 PRESSURE TREATED-SECONDS,CULLLMP2108,12.60,/piece,https://peacocklumber.ca/p/2x10x8-pressure-treated-seconds/CULLLMP2108,https://ik.imagekit.io/toolbx/1754669915863
Construction Lumber,4 x 4 Cant Strip R/L,LSP44CS,1.45,/foot,https://peacocklumber.ca/p/4-x-4-cant-strip-rl/LSP44CS,https://ik.imagekit.io/toolbx/ecommerce/Peacock+Lumber/no_image_found.png
Construction Lumber,2X6-8' PRESSURE TREATED-SECONDS,CULLLMP268,6.45,/piece,https://peacocklumber.ca/p/2x6-8-pressure-treated-seconds/CULLLMP268,https://ik.imagekit.io/toolbx/1754677906272
Construction Lumber,2X6X10 PRESSURE TREATED-SECONDS,CULLLMP2610,8.10,/piece,https://peacocklumber.ca/p/2x6x10-pressure-treated-seconds/CULLLMP2610,https://ik.imagekit.io/toolbx/1754677942995
Construction Lumber,2X10X14 PRESSURE TREATED-SECONDS,CULLLMP21014,22.65,/piece,https://peacocklumber.ca/p/2x10x14-pressure-treated-seconds/CULLLMP21014,https://ik.imagekit.io/toolbx/1754669715189
Construction Lumber,2X6-20' PRESSURE TREATED-SECONDS,CULLLMP2620,21.00,/piece,https://peacocklumber.ca/p/2x6-20-pressure-treated-seconds/CULLLMP2620,https://ik.imagekit.io/toolbx/1754677877708
Construction Lumber,2X10X10 PRESSURE TREATED-SECONDS,CULLLMP21010,15.50,/piece,https://peacocklumber.ca/p/2x10x10-pressure-treated-seconds/CULLLMP21010,https://ik.imagekit.io/toolbx/1754669665218
Construction Lumber,5/4X6X14 PRESSURE TREATED-SECONDS,CULLLMP54614,7.55,/piece,https://peacocklumber.ca/p/54x6x14-pressure-treated-seconds/CULLLMP54614,https://ik.imagekit.io/toolbx/1754678202790
Construction Lumber,5/4X6X16 PRESSURE TREATED-SECONDS,CULLLMP54616,8.75,/piece,https://peacocklumber.ca/p/54x6x16-pressure-treated-seconds/CULLLMP54616,https://ik.imagekit.io/toolbx/1754678224773
Construction Lumber,2X8-16' PRESSURE TREATED-SECONDS,CULLLMP2816,18.95,/piece,https://peacocklumber.ca/p/2x8-16-pressure-treated-seconds/CULLLMP2816,https://ik.imagekit.io/toolbx/1754678066487
Construction Lumber,2 x 2 Cant Strip R/L,LSPCS22,0.59,/foot,https://peacocklumber.ca/p/2-x-2-cant-strip-rl/LSPCS22,https://ik.imagekit.io/toolbx/ecommerce/Peacock+Lumber/no_image_found.png
Construction Lumber,2X6-16 PRESSURE TREATED-SECONDS,CULLLMP2616,12.40,/piece,https://peacocklumber.ca/p/2x6-16-pressure-treated-seconds/CULLLMP2616,https://ik.imagekit.io/toolbx/1754670605684
Construction Lumber,2X6-12' PRESSURE TREATED-SECONDS,CULLLMP2612,12.85,/piece,https://peacocklumber.ca/p/2x6-12-pressure-treated-seconds/CULLLMP2612,https://ik.imagekit.io/toolbx/1754670590968
Construction Lumber,2X8-8' PRESSURE TREATED-SECONDS,CULLLMP288,9.30,/piece,https://peacocklumber.ca/p/2x8-8-pressure-treated-seconds/CULLLMP288,https://ik.imagekit.io/toolbx/1754678122013
Construction Lumber,2X4X10 PRESSURE TREATED-SECONDS,CULLLMP2410,4.85,/piece,https://peacocklumber.ca/p/2x4x10-pressure-treated-seconds/CULLLMP2410,https://ik.imagekit.io/toolbx/1754670561803
