sku,name,unit,price,product_link,image
LACULL92,"Cull PT - 21214pt x 1, 21212pt x 2, 21012pt x 4, 2812pt x 4 was $480",Each,$240.00,https://www.coppsbuildall.com/shop/LACULL92/cull-pt-21214pt-x-1-21212pt-x-2-21012pt-x-4-2812pt-x-4-was-480/,https://www.coppsbuildall.com/img/default-img.png
LACULL74,"Cull PT - 2414pt x 28, 2412pt x 2, 2410pt x 4, 248pt x 8, 2616pt x 6, 2614pt x 11, 3612pt x 2, 2610pt x 2, 268pt x 1, 288pt x 2",Each,$675.00,https://www.coppsbuildall.com/shop/LACULL74/cull-pt-2414pt-x-28-2412pt-x-2-2410pt-x-4-248pt-x-8-2616pt-x-6-2614pt-x-11-3612pt-x-2-2610pt-x-2-268pt-x-1-288pt-x-2-2810pt-x-3-2816pt-x-1-2108pt-x-1-21212pt-x-1-was-1350/,https://www.coppsbuildall.com/img/default-img.png
LACULL68,"Cull PT - 248pt x 48, 24RAILB x 22 was $750",Each,$375.00,https://www.coppsbuildall.com/shop/LACULL68/cull-pt-248pt-x-48-24railb-x-22-was-750/,https://www.coppsbuildall.com/img/default-img.png
LACULL93,"Cull PT - 2612pt x 15, 2610pt x 3 was 350",Each,$175.00,https://www.coppsbuildall.com/shop/LACULL93/cull-pt-2612pt-x-15-2610pt-x-3-was-350/,https://www.coppsbuildall.com/img/default-img.png
LACULL88,"Cull PT - 2612pt x 6, 2610pt x 3, 268pt x 3 was 240",Each,$120.00,https://www.coppsbuildall.com/shop/LACULL88/cull-pt-2612pt-x-6-2610pt-x-3-268pt-x-3-was-240/,https://www.coppsbuildall.com/img/default-img.png
LACULL89,"Cull PT - 2616pt x 7, 2614pt x 10, 2416pt x 6, 2414pt x 2 was 615",Each,$300.00,https://www.coppsbuildall.com/shop/LACULL89/cull-pt-2616pt-x-7-2614pt-x-10-2416pt-x-6-2414pt-x-2-was-615/,https://www.coppsbuildall.com/img/default-img.png
LACULL86,"Cull PT - 2816pt x 6, 2814pt x 8, 2614pt x 4 was 650",Each,$325.00,https://www.coppsbuildall.com/shop/LACULL86/cull-pt-2816pt-x-6-2814pt-x-8-2614pt-x-4-was-650/,https://www.coppsbuildall.com/img/default-img.png
LACULL81,Cull PT - 4412pt x 14 was $410,Each,$200.00,https://www.coppsbuildall.com/shop/LACULL81/cull-pt-4412pt-x-14-was-410/,https://www.coppsbuildall.com/img/default-img.png
LACULL83,Cull PT - 4412pt x 21 was $615,Each,$300.00,https://www.coppsbuildall.com/shop/LACULL83/cull-pt-4412pt-x-21-was-615/,https://www.coppsbuildall.com/img/default-img.png
LACULL80,"Cull PT - 448pt x 9, 4410pt x 1 was $200",Each,$100.00,https://www.coppsbuildall.com/shop/LACULL80/cull-pt-448pt-x-9-4410pt-x-1-was-200/,https://www.coppsbuildall.com/img/default-img.png
LACULL90,"Cull PT - 54612pt x 8, 54610pt x 10, 5468pt x 14 was $350",Each,$175.00,https://www.coppsbuildall.com/shop/LACULL90/cull-pt-54612pt-x-8-54610pt-x-10-5468pt-x-14-was-350/,https://www.coppsbuildall.com/img/default-img.png
LACULL91,"Cull PT - 54616pt x 13, 54614pt x 19 was $530",Each,$250.00,https://www.coppsbuildall.com/shop/LACULL91/cull-pt-54616pt-x-13-54614pt-x-19-was-530/,https://www.coppsbuildall.com/img/default-img.png
LACULL82,Cull PT - 6610pt x 5 was $310,Each,$150.00,https://www.coppsbuildall.com/shop/LACULL82/cull-pt-6610pt-x-5-was-310/,https://www.coppsbuildall.com/img/default-img.png
LACULL84,"Cull PT - 6614pt x 13, 6616pt x 1 was $1250",Each,$625.00,https://www.coppsbuildall.com/shop/LACULL84/cull-pt-6614pt-x-13-6616pt-x-1-was-1250/,https://www.coppsbuildall.com/img/default-img.png
LACULL72,"Cull PT - 668pt x 8, 6610pt x 5, 6612pt x 2, 6614pt x 1, 6616pt x 1, 6620pt x 1, 5510pt x 3, 5512pt x 1, 35tieb x 6 was $1500",Each,$750.00,https://www.coppsbuildall.com/shop/LACULL72/cull-pt-668pt-x-8-6610pt-x-5-6612pt-x-2-6614pt-x-1-6616pt-x-1-6620pt-x-1-5510pt-x-3-5512pt-x-1-35tieb-x-6-was-1500/,https://www.coppsbuildall.com/img/default-img.png
LECULL25_41,Cull PT Lift - To be stored over winter SOLD IN FULL LIFT ONLY - FINAL SALE,Each,$800.00,https://www.coppsbuildall.com/shop/LECULL25_41/cull-pt-lift-to-be-stored-over-winter-sold-in-full-lift-only-final-sale/,https://www.coppsbuildall.com/img/default-img.png
DTCULL1125-01,"Cull Spruce,2x material SOLD IN FULL LIFT ONLY- FINAL SALE",Each,$105.00,https://www.coppsbuildall.com/shop/DTCULL1125-01/cull-spruce2x-material-sold-in-full-lift-only-final-sale/,https://www.coppsbuildall.com/img/default-img.png
FJ148,Finger Jointed Pine Nominal 1x4x8,Each,$9.99,https://www.coppsbuildall.com/shop/FJ148/finger-jointed-pine-nominal-1x4x8/,https://www.coppsbuildall.com/img/default-img.png
