category,name,sku,price,unit,url,image,scraped_time
Lumber,2x12x10' PT,PT21210,44.98,/each,https://shop.newcanadianslumber.com/p/2x12x10-pt/PT21210,https://ik.imagekit.io/toolbx/p_1606680166984_ab11dc01-e140-4584-b483-9589b345baab.jpg,
Lumber,"2x8x1"" PT Privacy Diagonal Lattice - Custom Order",PL281PP,82,/each,https://shop.newcanadianslumber.com/p/2x8x1-pt-privacy-diagonal-lattice-custom-order/PL281PP,https://ik.imagekit.io/toolbx/ecommerce/NCL/PL281PP.jpg,
Lumber,"2x2x36"" PT",PT36,3.19,/each,https://shop.newcanadianslumber.com/p/2x2x36-pt/PT36,https://ik.imagekit.io/toolbx/ecommerce/NCL/PT36.jpg,
Lumber,"4x8x1"" Square Cedar Lattice - Custom Order",CL481S,146,/each,https://shop.newcanadianslumber.com/p/4x8x1-square-cedar-lattice-custom-order/CL481S,https://ik.imagekit.io/toolbx/ecommerce/NCL/CL481S.jpg,
Lumber,Roseburg Floor Joist 80S 11 7/8” X 22’,FJ80S117822,111.95,/each,https://shop.newcanadianslumber.com/p/roseburg-floor-joist-80s-11-78-x-22/FJ80S117822,https://ik.imagekit.io/toolbx/p_1694836826222_f78302d7-a5fc-4578-b42c-5102f88fd9de_FJ80S117822.jpg,
Lumber,1x8x8' SPF,S188,7.99,/each,https://shop.newcanadianslumber.com/p/1x8x8-spf/S188,https://ik.imagekit.io/toolbx/ecommerce/NCL/S188.jpeg,
Lumber,2x12x8' PT,PT2128,36.99,/each,https://shop.newcanadianslumber.com/p/2x12x8-pt/PT2128,https://ik.imagekit.io/toolbx/1577130468086,
Lumber,1x10x10' Pine #1,P11010,29.75,/each,https://shop.newcanadianslumber.com/p/1x10x10-pine-1/P11010,https://ik.imagekit.io/toolbx/p_1657819522958_3e5b23f1-fba2-4972-8297-2032d1bc7fb0.jpg,
Lumber,1x1x8' PT,PT118,2.99,/each,https://shop.newcanadianslumber.com/p/1x1x8-pt/PT118,https://ik.imagekit.io/toolbx/p_1606681188049_e73ad74a-9df6-469c-9a21-b28b3b653cb5.jpg,
Lumber,2x6x10' Pine #1,P2610,34.4,/each,https://shop.newcanadianslumber.com/p/2x6x10-pine-1/P2610,https://ik.imagekit.io/toolbx/p_1657814303922_81a01380-bcca-4921-bc54-bccee19d12da.jpg,
Lumber,1x10x6' Pine #1,P1106,15.3,/each,https://shop.newcanadianslumber.com/p/1x10x6-pine-1/P1106,https://ik.imagekit.io/toolbx/p_1657819527729_11f2125f-f19a-42cd-b660-17fa1ab1b146.jpg,
Lumber,4x4 PT Chamfered Post Caps,PT44CAP,3.55,/each,https://shop.newcanadianslumber.com/p/4x4-pt-chamfered-post-caps/PT44CAP,https://ik.imagekit.io/toolbx/src-img/116339694027,
Lumber,Rimboard 14” x 12’,TS14,49.95,/each,https://shop.newcanadianslumber.com/p/rimboard-14-x-12/TS14,https://ik.imagekit.io/toolbx/p_1694836836875_5af11047-1ade-4670-9267-124734cff81c_TS14.jpg,
Lumber,"2x8x1"" PT Square Lattice - Custom Order",PL281S,66,/each,https://shop.newcanadianslumber.com/p/2x8x1-pt-square-lattice-custom-order/PL281S,https://ik.imagekit.io/toolbx/ecommerce/NCL/PL281S.jpg,
