REPORTER_LAB,PARTNER_LAB,PRODUCT,PRODUCT_LAB,FLOW,FLOW_LAB,PERIOD,PERIOD_LAB,INDICATORS,INDICATORS_LAB,INDICATOR_VALUE
"Türkiye","Extra-euro area",010639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)",2,"EXPORT",202506,"Jun. 2025",QUANTITY_KG,"QUANTITY_KG",45
"Türkiye","Extra-euro area - 20 countries (from 2023)",010639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)",2,"EXPORT",202506,"Jun. 2025",QUANTITY_KG,"QUANTITY_KG",45
"Türkiye","Extra-EU",010639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)",2,"EXPORT",202506,"Jun. 2025",QUANTITY_KG,"QUANTITY_KG",45
"Türkiye","Extra-EU27 (from 2020)",010639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)",2,"EXPORT",202506,"Jun. 2025",QUANTITY_KG,"QUANTITY_KG",45
"Türkiye","Thailand",010639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)",2,"EXPORT",202506,"Jun. 2025",QUANTITY_KG,"QUANTITY_KG",45
"Türkiye","All countries of the world",010639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)",2,"EXPORT",202506,"Jun. 2025",QUANTITY_KG,"QUANTITY_KG",45
