complete,url,id,school,sector,type,state,students,year_range,location,website,profile_year,icsea_value,icsea_percentile,icsea_quartile_1,icsea_quartile_2,icsea_quartile_3,icsea_quartile_4,results_year,year_3_reading,year_3_reading_color,year_3_writing,year_3_writing_color,year_3_spelling,year_3_spelling_color,year_3_grammar,year_3_grammar_color,year_3_numeracy,year_3_numeracy_color,year_5_reading,year_5_reading_color,year_5_writing,year_5_writing_color,year_5_spelling,year_5_spelling_color,year_5_grammar,year_5_grammar_color,year_5_numeracy,year_5_numeracy_color,year_7_reading,year_7_reading_color,year_7_writing,year_7_writing_color,year_7_spelling,year_7_spelling_color,year_7_grammar,year_7_grammar_color,year_7_numeracy,year_7_numeracy_color,year_9_reading,year_9_reading_color,year_9_writing,year_9_writing_color,year_9_spelling,year_9_spelling_color,year_9_grammar,year_9_grammar_color,year_9_numeracy,year_9_numeracy_color,naplan_participation,attendance_year,attendance_rate,high_attendance_rate
,https://www.myschool.edu.au/school/40075,40075,King Island District High School,Government,Combined,"Currie, TAS",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/41488,41488,King Park Public School,Government,Primary,"St Johns Park, NSW",394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/42052,42052,King Street Public School,Government,Primary,"Singleton, NSW",436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/49844,49844,King&#39;s Baptist Grammar School,Non-government,Combined,"Wynn Vale, SA",1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/48055,48055,King&#39;s Christian College,Non-government,Combined,"Reedy Creek, QLD",4737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/46306,46306,King&#39;s College,Non-government,Combined,"Warrnambool, VIC",269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/47438,47438,Kingaroy State High School,Government,Secondary,"Kingaroy, QLD",994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/46981,46981,Kingaroy State School,Government,Primary,"Kingaroy, QLD",388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/51461,51461,Kingdom Culture Christian School,Non-government,Combined,"Arncliffe, NSW",168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/44437,44437,Kinglake Primary School,Government,Primary,"Kinglake, VIC",76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/44578,44578,Kinglake West Primary School,Government,Primary,"Kinglake West, VIC",133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/41761,41761,Kings Langley Public School,Government,Primary,"Kings Langley, NSW",575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/40077,40077,Kings Meadows High School,Government,Secondary,"Kings Meadows, TAS",575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/45103,45103,Kings Park Primary School,Government,Primary,"St Albans, VIC",406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/44867,44867,Kingsbury Primary School,Government,Primary,"Kingsbury, VIC",138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/42406,42406,Kingscliff High School,Government,Secondary,"Kingscliff, NSW",933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/42334,42334,Kingscliff Public School,Government,Primary,"Kingscliff, NSW",426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/49909,49909,Kingsford Smith School,Government,Combined,"Holt, ACT",794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/41162,41162,Kingsgrove High School,Government,Secondary,"Kingsgrove, NSW",682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/41156,41156,Kingsgrove North High School,Government,Secondary,"Kingsgrove, NSW",961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/41028,41028,Kingsgrove Public School,Government,Primary,"Kingsgrove, NSW",314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/48064,48064,Kingsley College,Non-government,Combined,"Berserker, QLD",268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/45039,45039,Kingsley Park Primary School,Government,Primary,"Frankston, VIC",372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/48558,48558,Kingsley Primary School,Government,Primary,"Armadale, WA",250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/47088,47088,Kingsthorpe State School,Government,Primary,"Kingsthorpe, QLD",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/49424,49424,Kingston Community School,Government,Combined,"Kingston Se, SA",313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/45018,45018,Kingston Heath Primary School,Government,Primary,"Cheltenham, VIC",196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/40076,40076,Kingston High School,Government,Secondary,"Kingston, TAS",596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/40143,40143,Kingston Primary School,Government,Primary,"Kingston, TAS",348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/40830,40830,Kingston Primary School,Government,Primary,"Australind, WA",608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/47519,47519,Kingston State College,Government,Secondary,"Kingston, QLD",789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/47113,47113,Kingston State School,Government,Primary,"Kingston, QLD",521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/49203,49203,Kingston-on-Murray Primary School,Government,Primary,"Kingston On Murray, SA",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/42452,42452,Kingstown Public School,Government,Primary,"Kingstown, NSW",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/44693,44693,Kingsville Primary School,Government,Primary,"Yarraville, VIC",452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/49068,49068,Kingsway Christian College,Non-government,Combined,"Darch, WA",1353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/46202,46202,Kingswood College,Non-government,Combined,"Box Hill, VIC",576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/41826,41826,Kingswood High School,Government,Secondary,"Kingswood, NSW",958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/41723,41723,Kingswood Park Public School,Government,Primary,"Penrith, NSW",152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/45021,45021,Kingswood Primary School,Government,Primary,"Dingley Village, VIC",580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/41635,41635,Kingswood Public School,Government,Primary,"Kingswood, NSW",519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/41722,41722,Kingswood South Public School,Government,Primary,"Kingswood, NSW",295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/40366,40366,Kinma School,Non-government,Primary,"Terrey Hills, NSW",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/48252,48252,Kinross College,Government,Secondary,"Kinross, WA",893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/48732,48732,Kinross Primary School,Government,Primary,"Kinross, WA",656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/43844,43844,Kinross Wolaroi School,Non-government,Combined,"Orange, NSW",1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/40671,40671,Kintore Street School,Government,Special,"Katherine, NT",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/40596,40596,Kioma State School,Government,Primary,"Kioma, QLD",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/46818,46818,Kippa-Ring State School,Government,Primary,"Kippa-Ring, QLD",281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/41916,41916,Kirkton Public School,Government,Primary,"Lower Belford, NSW",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/41174,41174,Kirrawee High School,Government,Secondary,"Kirrawee, NSW",1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/41088,41088,Kirrawee Public School,Government,Primary,"Kirrawee, NSW",313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/49502,49502,Kirton Point Primary School,Government,Primary,"Port Lincoln, SA",178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/48417,48417,Kirup Primary School,Government,Primary,"Kirup, WA",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/47525,47525,Kirwan State High School,Government,Secondary,"Kirwan, QLD",1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/47285,47285,Kirwan State School,Government,Primary,"Kirwan, QLD",733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
