url,id,school,sector,type,state,students,year_range,location,website,profile_year,icsea_value,icsea_percentile,icsea_quartile_1,icsea_quartile_2,icsea_quartile_3,icsea_quartile_4,results_year,year_3_reading,year_3_reading_color,year_3_writing,year_3_writing_color,year_3_spelling,year_3_spelling_color,year_3_grammar,year_3_grammar_color,year_3_numeracy,year_3_numeracy_color,year_5_reading,year_5_reading_color,year_5_writing,year_5_writing_color,year_5_spelling,year_5_spelling_color,year_5_grammar,year_5_grammar_color,year_5_numeracy,year_5_numeracy_color,year_7_reading,year_7_reading_color,year_7_writing,year_7_writing_color,year_7_spelling,year_7_spelling_color,year_7_grammar,year_7_grammar_color,year_7_numeracy,year_7_numeracy_color,year_9_reading,year_9_reading_color,year_9_writing,year_9_writing_color,year_9_spelling,year_9_spelling_color,year_9_grammar,year_9_grammar_color,year_9_numeracy,year_9_numeracy_color,naplan_participation,attendance_year,attendance_rate,high_attendance_rate,attendance_status,status,scrape_time,Column1,_1,_2,_3,_4,_5
https://www.myschool.edu.au/school/49083,49083,Landsdale Christian School,Non-government,Combined,"Landsdale, WA",216,PP-12,Major Cities,https://www.landsdalechristianschool.wa.edu.au/,2024,1038,63,21,34,26,19,2024,344,#f26469,426,#ffffff,371,#fccccc,358,#f26469,376,#fccccc,460,#fccccc,444,#f26469,469,#fccccc,459,#fccccc,462,#fccccc,537,#ffffff,539,#ffffff,545,#ffffff,526,#ffffff,543,#ffffff,593,#b6f9cc,571,#ffffff,550,#fccccc,573,#ffffff,580,#ffffff,100,2024,92,68,,OK,13.28,,,,,,
https://www.myschool.edu.au/school/53012,53012,Landsdale Gardens Primary School,Government,Primary,"Landsdale, WA",229,K-6,Major Cities,https://landsdalegardensps.wa.edu.au/,2024,1015,54,30,30,29,11,2024,442,#b6f9cc,471,#52cead,454,#52cead,460,#52cead,441,#52cead,485,#ffffff,494,#ffffff,488,#ffffff,511,#ffffff,522,#b6f9cc,,,,,,,,,,,,,,,,,,,,,93,2024,93,78,,OK,17.61,,,,,,
https://www.myschool.edu.au/school/48747,48747,Landsdale Primary School,Government,Primary,"Landsdale, WA",777,K-6,Major Cities,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=5766,2024,1044,66,19,31,30,19,2024,411,#ffffff,426,#ffffff,425,#b6f9cc,415,#ffffff,403,#ffffff,495,#ffffff,496,#ffffff,499,#ffffff,508,#ffffff,500,#ffffff,,,,,,,,,,,,,,,,,,,,,97,2024,92,71,,OK,12.62,,,,,,
https://www.myschool.edu.au/school/41221,41221,Lane Cove Public School,Government,Primary,"Lane Cove, NSW",734,K-6,Major Cities,https://lanecove-p.schools.nsw.gov.au,2024,1172,98,1,6,24,69,2024,482,#52cead,466,#52cead,471,#52cead,494,#52cead,462,#52cead,569,#52cead,545,#52cead,545,#52cead,586,#52cead,563,#52cead,,,,,,,,,,,,,,,,,,,,,100,2024,93,76,,OK,19.64,,,,,,
https://www.myschool.edu.au/school/41260,41260,Lane Cove West Public School,Government,Primary,"Lane Cove, NSW",483,K-6,Major Cities,https://lanecovew-p.schools.nsw.gov.au,2024,1160,97,1,8,27,64,2024,461,#52cead,450,#b6f9cc,442,#b6f9cc,460,#52cead,457,#52cead,534,#52cead,527,#52cead,528,#52cead,532,#b6f9cc,533,#52cead,,,,,,,,,,,,,,,,,,,,,100,2024,92,70,,OK,12.6,,,,,,
https://www.myschool.edu.au/school/44522,44522,Lang Lang Primary School,Government,Primary,"Lang Lang, VIC",202,Prep-6,Inner Regional,http://www.langlangps.vic.edu.au,2024,961,29,52,35,12,2,2024,368,#fccccc,375,#f26469,352,#f26469,355,#f26469,391,#ffffff,469,#fccccc,473,#ffffff,452,#fccccc,439,#f26469,442,#f26469,,,,,,,,,,,,,,,,,,,,,92,2024,89,53,,OK,16.67,,,,,,
https://www.myschool.edu.au/school/44244,44244,Langley Primary School,Government,Primary,"Langley, VIC",4,4-6,Inner Regional,http://www.langleyps.vic.edu.au/,2024,N/A,N/A,N/A,N/A,N/A,N/A,2018,454,#b6f9cc,361,#f26469,441,#b6f9cc,328,#f26469,382,#fccccc,476,#fccccc,416,#f26469,438,#f26469,479,#fccccc,458,#f26469,,,,,,,,,,,,,,,,,,,,,87,2022,78,8,,OK,17.24,,,,,,
https://www.myschool.edu.au/school/45119,45119,Langwarrin Park Primary School,Government,Primary,"Langwarrin, VIC",571,Prep-6,Major Cities,http://www.langwarrinparkps.vic.edu.au/,2024,1016,54,28,38,24,11,2024,429,#b6f9cc,445,#b6f9cc,416,#ffffff,416,#ffffff,415,#ffffff,482,#ffffff,499,#ffffff,472,#ffffff,493,#ffffff,483,#ffffff,,,,,,,,,,,,,,,,,,,,,96,2024,90,60,,OK,16.09,,,,,,
https://www.myschool.edu.au/school/44614,44614,Langwarrin Primary School,Government,Primary,"Langwarrin, VIC",655,Prep-6,Major Cities,http://www.langwarrinps.vic.edu.au,2024,1021,56,26,36,27,12,2024,420,#ffffff,429,#ffffff,405,#ffffff,407,#ffffff,432,#b6f9cc,495,#ffffff,466,#fccccc,475,#ffffff,488,#ffffff,488,#ffffff,,,,,,,,,,,,,,,,,,,,,96,2024,91,68,,OK,19.24,,,,,,
https://www.myschool.edu.au/school/40103,40103,Lansdowne Crescent Primary School,Government,Primary,"West Hobart, TAS",400,K-6,Inner Regional,https://www.lansdownecrescentprimary.org/,2024,1146,95,4,11,25,60,2024,468,#52cead,448,#b6f9cc,435,#b6f9cc,454,#b6f9cc,455,#52cead,520,#b6f9cc,503,#b6f9cc,492,#ffffff,514,#ffffff,497,#ffffff,,,,,,,,,,,,,,,,,,,,,99,2024,92,75,,OK,14.71,,,,,,
