vendor,category,name,sku,flag,price,unit,url,image,brand,scraped_time,price_2026_01_06,unit_2026_01_06,status_2026_01_06,price_2026_01_08,unit_2026_01_08,status_2026_01_08,price_2026_01_07,unit_2026_01_07,status_2026_01_07,flagged_time,price_2026_01_10,unit_2026_01_10,status_2026_01_10
New Canadians Lumber,Lumber,Roseburg Floor Joist 80S 9-1/2x20',FJ80S91220,False,$92.95,/each,https://shop.newcanadianslumber.com/p/roseburg-floor-joist-80s-9-12x20/FJ80S91220,https://ik.imagekit.io/toolbx/i_joist.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,"2x8x1"" Square Cedar Lattice - Custom Order",CL281S,False,$83.00,/each,https://shop.newcanadianslumber.com/p/2x8x1-square-cedar-lattice-custom-order/CL281S,https://ik.imagekit.io/toolbx/ecommerce/NCL/CL281S.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,2x8x14' Pine #1,P2814,False,$64.06,/each,https://shop.newcanadianslumber.com/p/2x8x14-pine-1/P2814,https://ik.imagekit.io/toolbx/p_1657814308691_263176e1-84b5-46bf-bb3b-5f9545c97618.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,"Pine 1"" Quarter Round Moulding",QUA-102,False,$2.03,/each,https://shop.newcanadianslumber.com/p/pine-1-quarter-round-moulding/QUA-102,https://ik.imagekit.io/toolbx/1749738862073,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,1x12x8' Pine #1,P1128,False,$29.92,/each,https://shop.newcanadianslumber.com/p/1x12x8-pine-1/P1128,https://ik.imagekit.io/toolbx/p_1657819530969_32b2c82d-d5a5-4ad6-bdbe-89b5f88b2e39.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,"1x8x3/4"" Diagonal Cedar Lattice - Custom Order",CL1834D,False,$52.00,/each,https://shop.newcanadianslumber.com/p/1x8x34-diagonal-cedar-lattice-custom-order/CL1834D,https://ik.imagekit.io/toolbx/ecommerce/NCL/CL1834D.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,5-Step Sienna PT Stair Stringer,PT5,False,$42.99,/each,https://shop.newcanadianslumber.com/p/5-step-sienna-pt-stair-stringer/PT5,https://ik.imagekit.io/toolbx/p_1679631507128_1fa01fd9-a69e-4d29-850f-ffbc13651f8a_PT5.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,LVL Beam 7-1/4x16',LVL71416,False,$89.95,/each,https://shop.newcanadianslumber.com/p/lvl-beam-7-14x16/LVL71416,https://ik.imagekit.io/toolbx/demo/catalog-images/toolbxLVL_2-198d84580f2.png,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,LVL Beam 9-1/2x16',LVL91216,False,$117.95,/each,https://shop.newcanadianslumber.com/p/lvl-beam-9-12x16/LVL91216,https://ik.imagekit.io/toolbx/demo/catalog-images/toolbxLVL_2-198d84580f2.png,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,"1x8x1"" Privacy Diagonal Cedar Lattice - Custom Order",CL181PP,False,$77.00,/each,https://shop.newcanadianslumber.com/p/1x8x1-privacy-diagonal-cedar-lattice-custom-order/CL181PP,https://ik.imagekit.io/toolbx/ecommerce/NCL/CL181PP.jpg,,,,,,,,,,,,,,,
New Canadians Lumber,Lumber,1x8x14' Clear Pine,CP1814,False,$47.60,/each,https://shop.newcanadianslumber.com/p/1x8x14-clear-pine/CP1814,https://ik.imagekit.io/toolbx/p_1657819517087_ec98a9d7-40fc-4768-b3ed-3c0b1799dbf6.jpg,,,,,,,,,,,,,,,
